product_id,product_name,product_url,current_price,currency,last_updated,image_url
20260114164540,"Apple AirPods 4 Wireless Earbuds, Bluetooth Headphones, with Active Noise Cancellation, Adaptive Audio, Transparency Mode, Personalised Spatial Audio, USB-C Charging Case, Wireless Charging, H2 Chip",https://www.amazon.in/Apple-Headphones-Cancellation-Transparency-Personalised/dp/B0DGJ6G1XG,16900,₹,2026-01-14 16:45:40,
20260114165259,"Apple AirPods 4 Wireless Earbuds, Bluetooth Headphones, with Active Noise Cancellation, Adaptive Audio, Transparency Mode, Personalised Spatial Audio, USB-C Charging Case, Wireless Charging, H2 Chip",https://www.amazon.in/Apple-Headphones-Cancellation-Transparency-Personalised/dp/B0DGJ6G1XG,16900,₹,2026-01-14 16:52:59,
20260114165304,"Original Wired for iPhone 15/16/17 | Tangle-Free Earphones with Mic, Noise Cancellation & Enhanced Audio Output",https://www.amazon.in/dp/B0G12JYP7G,1499,₹,2026-01-14 16:53:04,
20260114165309,"Ambrane 20-in-1 Cleaning Kit for Smartphones, Tablet, PC Computer, Laptops, Keyboards, DSLR Camera Lens, Earphones, Airpods with Screen Dust Brush, Key Puller & Spray Bottle (ACK-01, Grey)",https://www.amazon.in/dp/B0CQM2L6DQ,599,₹,2026-01-14 16:53:09,
20260114165315,"EarFun Air Pro 4 Hybrid Adaptive Noise Canceling Wireless Earbuds Bluetooth, 2024 VGP Award, Qualcomm Snapdragon Sound, aptX™ Lossless, 6 Mics AI Call, LDAC Hi-Res Audio, BT5.4, 52H, Sliver Black",https://www.amazon.in/dp/B0D96G1XZ5,7297,₹,2026-01-14 16:53:15,
20260114171600,"Apple AirPods 4 Wireless Earbuds, Bluetooth Headphones, with Active Noise Cancellation, Adaptive Audio, Transparency Mode, Personalised Spatial Audio, USB-C Charging Case, Wireless Charging, H2 Chip",https://www.amazon.in/Apple-Headphones-Cancellation-Transparency-Personalised/dp/B0DGJ6G1XG,16900,₹,2026-01-14 17:16:00,
20260114171605,"Original Wired for iPhone 15/16/17 | Tangle-Free Earphones with Mic, Noise Cancellation & Enhanced Audio Output",https://www.amazon.in/dp/B0G12JYP7G,1499,₹,2026-01-14 17:16:05,
20260114171610,"Ambrane 20-in-1 Cleaning Kit for Smartphones, Tablet, PC Computer, Laptops, Keyboards, DSLR Camera Lens, Earphones, Airpods with Screen Dust Brush, Key Puller & Spray Bottle (ACK-01, Grey)",https://www.amazon.in/dp/B0CQM2L6DQ,599,₹,2026-01-14 17:16:10,
20260114171615,"EarFun Air Pro 4 Hybrid Adaptive Noise Canceling Wireless Earbuds Bluetooth, 2024 VGP Award, Qualcomm Snapdragon Sound, aptX™ Lossless, 6 Mics AI Call, LDAC Hi-Res Audio, BT5.4, 52H, Sliver Black",https://www.amazon.in/dp/B0D96G1XZ5,7297,₹,2026-01-14 17:16:15,
20260114172303,"Apple AirPods 4 Wireless Earbuds, Bluetooth Headphones, with Active Noise Cancellation, Adaptive Audio, Transparency Mode, Personalised Spatial Audio, USB-C Charging Case, Wireless Charging, H2 Chip",https://www.amazon.in/Apple-Headphones-Cancellation-Transparency-Personalised/dp/B0DGJ6G1XG,16900,₹,2026-01-14 17:23:03,
20260114174910,"Apple AirPods 4 Wireless Earbuds, Bluetooth Headphones, with Active Noise Cancellation, Adaptive Audio, Transparency Mode, Personalised Spatial Audio, USB-C Charging Case, Wireless Charging, H2 Chip",https://www.amazon.in/Apple-Headphones-Cancellation-Transparency-Personalised/dp/B0DGJ6G1XG,16900,₹,2026-01-14 17:49:10,
20260114175303,"Apple AirPods 4 Wireless Earbuds, Bluetooth Headphones, with Active Noise Cancellation, Adaptive Audio, Transparency Mode, Personalised Spatial Audio, USB-C Charging Case, Wireless Charging, H2 Chip",https://www.amazon.in/Apple-Headphones-Cancellation-Transparency-Personalised/dp/B0DGJ6G1XG,16900,₹,2026-01-14 17:53:03,
